size(KB)	time(s)	rate(GB/s)
      0.25	2.42	105.93
      0.50	1.21	211.79
      1.00	1.04	245.24
      2.00	0.96	266.18
      4.00	0.92	278.04
      8.00	1.01	252.64
     16.00	0.95	269.14
     32.00	4.11	 62.32
     64.00	4.44	 57.70
    128.00	5.24	 48.89
    256.00	8.01	 31.97
    512.00	8.08	 31.67
   1024.00	8.07	 31.71
   2048.00	8.07	 31.71
   4096.00	8.08	 31.70
   8192.00	8.13	 31.50
  16384.00	12.29	 20.84
  32768.00	14.40	 17.78
  65536.00	15.46	 16.56
 131072.00	16.30	 15.70
 262144.00	16.79	 15.25
