size(KB)	time(s)	rate(GB/s)
      0.25	1.83	140.12
      0.50	1.36	188.62
      1.00	1.22	210.40
      2.00	1.84	139.25
      4.00	1.46	175.00
      8.00	1.28	200.22
     16.00	1.16	220.47
     32.00	3.94	 65.00
     64.00	4.06	 63.02
    128.00	4.00	 63.96
    256.00	4.47	 57.27
    512.00	5.55	 46.13
   1024.00	5.62	 45.53
   2048.00	5.65	 45.30
   4096.00	6.09	 42.07
   8192.00	9.90	 25.87
  16384.00	14.43	 17.74
  32768.00	16.80	 15.24
  65536.00	17.96	 14.25
 131072.00	18.20	 14.07
 262144.00	18.15	 14.10
